price,propertyType,size,exterior,rooms,bathrooms,address,province,municipality,latitude,longitude,status,newDevelopment,hasLift,priceByArea,hasParkingSpace,isParkingSpaceIncludedInPrice,parkingSpacePrice,groupDescription,typology,subTypology
130000.0,flat,58.0,True,3,1,San Blas,Madrid,Alcorcón,40.3454725,-3.8239519,renew,False,True,2241.0,False,False,,,flat,standardFlat
175000.0,flat,92.0,True,3,2,Paseo de Alberto Palacios,Madrid,Madrid,40.343788,-3.7175684,good,False,False,1902.0,False,False,,,flat,standardFlat
336000.0,flat,166.0,True,4,2,barrio Parque Lisboa - La Paz,Madrid,Alcorcón,40.3510702,-3.820288,good,False,True,2024.0,False,False,,,flat,standardFlat
119000.0,flat,62.0,True,3,1,NUÑO GOMEZ,Madrid,Madrid,40.3450001,-3.7181201,good,False,False,1919.0,False,False,,,flat,standardFlat
99900.0,studio,35.0,True,0,1,SAN DEOGRACIAS,Madrid,Madrid,40.3713305,-3.7589957,good,False,False,2854.0,False,False,,Destacado,flat,studio
189000.0,flat,85.0,True,3,1,Calle de Leganés,Madrid,Fuenlabrada,40.2879525,-3.7917496,renew,False,True,2224.0,False,False,,,flat,standardFlat
117500.0,flat,73.0,False,3,1,barrio Zona Centro Joven,Madrid,Alcorcón,40.3478288,-3.8227677,good,False,False,1610.0,False,False,,,flat,standardFlat
595000.0,chalet,201.0,False,4,3,barrio Prado de Santo Domingo,Madrid,Alcorcón,40.3347687,-3.8280388,good,False,False,2960.0,True,True,,Destacado,chalet,semidetachedHouse
147260.0,flat,65.0,True,3,2,Juan de la Cierva,Madrid,Getafe,40.3120374,-3.7181211,good,False,False,2266.0,False,False,,,flat,standardFlat
515000.0,chalet,270.0,False,4,4,Getafe norte,Madrid,Getafe,40.3229958,-3.7142366,good,False,False,1907.0,True,True,,Top,chalet,semidetachedHouse
134000.0,flat,60.0,True,3,1,barrio Zona Centro Joven,Madrid,Alcorcón,40.3475229,-3.8231313,renew,False,True,2233.0,False,False,,,flat,standardFlat
210000.0,flat,90.0,True,3,1,barrio Zona Centro Joven,Madrid,Alcorcón,40.3440067,-3.8251021,good,False,True,2333.0,False,False,,,flat,standardFlat
129900.0,flat,57.0,True,1,1,San Ignacio,Madrid,Alcorcón,40.3427233,-3.825711,good,False,True,2279.0,False,False,,,flat,standardFlat
168000.0,flat,97.0,True,3,1,El Naranjo,Madrid,Fuenlabrada,40.2960456,-3.8096416,good,False,True,1732.0,False,False,,,flat,standardFlat
