,price,propertyType,size,exterior,rooms,bathrooms,address,province,municipality,latitude,longitude,status,newDevelopment,hasLift,parkingSpace,priceByArea,detailedType,highlight
1350,580000.0,flat,179.0,True,5,3,"SIRIO, 28",Madrid,Madrid,40.4119672,-3.6640148,renew,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",3240.0,{'typology': 'flat'},False
1351,335000.0,flat,79.0,False,4,2,barrio Arroyo del Fresno,Madrid,Madrid,40.4880423,-3.7153148,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",4241.0,{'typology': 'flat'},False
1352,165000.0,studio,50.0,True,0,1,barrio La Paz,Madrid,Madrid,40.4765019,-3.7009304,good,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",3300.0,"{'typology': 'flat', 'subTypology': 'studio'}",False
1353,1700000.0,chalet,530.0,False,6,6,Calle Valdemosa,Madrid,Las Rozas de Madrid,40.5303579,-3.8976253,good,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",3208.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False
1354,590000.0,flat,120.0,True,3,2,Calle Galeón,Madrid,Madrid,40.4553355,-3.5861664,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",4917.0,{'typology': 'flat'},False
1355,230000.0,chalet,232.0,False,4,3,Calle el Quinto,Toledo,Seseña,40.1009878,-3.697397,good,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",991.0,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",False
1356,590000.0,flat,190.0,True,3,2,Calle del Galeón,Madrid,Madrid,40.4529596,-3.5876008,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",3105.0,{'typology': 'flat'},False
1357,212000.0,flat,65.0,True,1,1,Calle del Doctor Calero,Madrid,Majadahonda,40.4760257,-3.8688048,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",3262.0,{'typology': 'flat'},False
1358,309000.0,chalet,260.0,False,4,2,Rotonda de Westfalia s/n,Madrid,Eurovillas,40.3456847,-3.259916,good,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",1188.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False
1359,299500.0,flat,86.0,True,3,2,barrio Quintana,Madrid,Madrid,40.4318282,-3.6509639,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",3483.0,{'typology': 'flat'},False
1360,169000.0,flat,100.0,True,3,1,barrio Villaverde Alto,Madrid,Madrid,40.3450865,-3.710649,good,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 20.0}",1690.0,{'typology': 'flat'},False
1361,150000.0,flat,72.0,True,3,1,ASTURIAS s/n,Madrid,Móstoles,40.3235743,-3.8697761,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",2083.0,{'typology': 'flat'},False
1362,360000.0,flat,98.0,True,3,1,barrio Adelfas,Madrid,Madrid,40.4003027,-3.6698454,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",3673.0,{'typology': 'flat'},False
1363,384900.0,chalet,200.0,False,4,3,arte romanico,Madrid,Getafe,40.2979668,-3.7558025,good,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",1925.0,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",False
1364,320000.0,chalet,345.0,False,3,4,Avenida Señorío de Muriel,Guadalajara,Torrejón del Rey,40.6540832,-3.3323421,good,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",928.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False
1365,150000.0,flat,78.0,True,3,1,Calle de Carlos Martín Álvarez,Madrid,Madrid,40.3862749,-3.6637401,good,False,False,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",1923.0,{'typology': 'flat'},False
1366,205000.0,flat,102.0,True,2,2,Cubas de la Sagra,Madrid,Cubas de la Sagra,40.1929726,-3.8387922,good,False,False,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",2010.0,{'typology': 'flat'},False
1367,370000.0,flat,97.0,True,2,2,Calle Calatayud,Madrid,Madrid,40.4075091,-3.7280302,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",3814.0,{'typology': 'flat'},False
1368,389900.0,chalet,200.0,False,4,3,Daganzo de Arriba,Madrid,Daganzo de Arriba,40.544488,-3.4666044,good,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",1950.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",False
1369,425000.0,flat,60.0,True,2,1,Calle de la Povedilla,Madrid,Madrid,40.4247935,-3.6697428,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",7083.0,{'typology': 'flat'},False
1370,269000.0,flat,92.0,True,2,1,Calle Cantueso,Madrid,Madrid,40.4646361,-3.7080782,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",2924.0,{'typology': 'flat'},False
1371,165000.0,flat,85.0,True,3,1,Calle de Alejandro Sánchez,Madrid,Madrid,40.3915285,-3.7221428,renew,False,False,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",1941.0,{'typology': 'flat'},False
1372,169000.0,flat,55.0,True,2,1,Calle Autogiro,Madrid,Madrid,40.4691369,-3.5870209,good,False,False,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",3073.0,{'typology': 'flat'},False
1373,169000.0,flat,90.0,False,1,1,juan de Toledo,Madrid,San Lorenzo de El Escorial,40.5929331,-4.1423996,good,False,False,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",1878.0,{'typology': 'flat'},False
1374,229000.0,flat,98.0,True,3,2,Moraleja de Enmedio,Madrid,Moraleja de Enmedio,40.2618466,-3.8636805,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",2337.0,{'typology': 'flat'},False
1375,395000.0,flat,67.0,False,1,1,barrio Trafalgar,Madrid,Madrid,40.433246,-3.702004,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",5896.0,{'typology': 'flat'},False
